timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531191708316,141,/sign/api/v1/qzsq,401,,单位类别、单位编号、人员编号匹配 2-1,,false,,232,205,1,2,141,0,78
1531191708316,148,/sign/oauth/token,200,,GET-token 1-1,text,true,,702,241,1,1,148,0,78
